,timestamp,temperature_2m,shortwave_radiation
0,2024-02-28 00:00:00,-5.7,0.0
1,2024-02-28 01:00:00,-6.3,0.0
2,2024-02-28 02:00:00,-6.7,0.0
3,2024-02-28 03:00:00,-7.3,0.0
4,2024-02-28 04:00:00,-8.0,0.0
5,2024-02-28 05:00:00,-8.2,0.0
6,2024-02-28 06:00:00,-8.3,0.0
7,2024-02-28 07:00:00,-7.8,6.0
8,2024-02-28 08:00:00,-5.4,124.0
9,2024-02-28 09:00:00,-1.9,318.0
10,2024-02-28 10:00:00,2.4,497.0
11,2024-02-28 11:00:00,6.2,633.0
12,2024-02-28 12:00:00,8.8,711.0
13,2024-02-28 13:00:00,9.9,722.0
14,2024-02-28 14:00:00,10.3,662.0
15,2024-02-28 15:00:00,10.8,547.0
16,2024-02-28 16:00:00,10.8,383.0
17,2024-02-28 17:00:00,7.3,201.0
18,2024-02-28 18:00:00,1.7,35.0
19,2024-02-28 19:00:00,-0.8,0.0
20,2024-02-28 20:00:00,-2.5,0.0
21,2024-02-28 21:00:00,-3.8,0.0
22,2024-02-28 22:00:00,-4.4,0.0
23,2024-02-28 23:00:00,-4.9,0.0
24,2024-02-29 00:00:00,-5.2,0.0
25,2024-02-29 01:00:00,-5.4,0.0
26,2024-02-29 02:00:00,-5.1,0.0
27,2024-02-29 03:00:00,-5.1,0.0
28,2024-02-29 04:00:00,-5.7,0.0
29,2024-02-29 05:00:00,-5.7,0.0
30,2024-02-29 06:00:00,-5.6,0.0
31,2024-02-29 07:00:00,-5.2,7.0
32,2024-02-29 08:00:00,-1.7,127.0
33,2024-02-29 09:00:00,4.4,321.0
34,2024-02-29 10:00:00,9.1,501.0
35,2024-02-29 11:00:00,11.5,637.0
36,2024-02-29 12:00:00,12.9,715.0
37,2024-02-29 13:00:00,13.9,728.0
38,2024-02-29 14:00:00,14.3,676.0
39,2024-02-29 15:00:00,14.2,563.0
40,2024-02-29 16:00:00,13.5,401.0
41,2024-02-29 17:00:00,10.7,209.0
42,2024-02-29 18:00:00,6.6,39.0
43,2024-02-29 19:00:00,2.6,0.0
44,2024-02-29 20:00:00,-1.0,0.0
45,2024-02-29 21:00:00,-2.3,0.0
46,2024-02-29 22:00:00,-2.8,0.0
47,2024-02-29 23:00:00,-3.9,0.0
48,2024-03-01 00:00:00,-3.9,0.0
49,2024-03-01 01:00:00,-3.8,0.0
50,2024-03-01 02:00:00,-4.3,0.0
51,2024-03-01 03:00:00,-4.2,0.0
52,2024-03-01 04:00:00,-3.9,0.0
53,2024-03-01 05:00:00,-3.2,0.0
54,2024-03-01 06:00:00,-4.0,0.0
55,2024-03-01 07:00:00,-3.1,7.0
56,2024-03-01 08:00:00,0.8,127.0
57,2024-03-01 09:00:00,5.4,320.0
58,2024-03-01 10:00:00,10.1,500.0
59,2024-03-01 11:00:00,12.2,635.0
60,2024-03-01 12:00:00,13.7,714.0
61,2024-03-01 13:00:00,14.5,727.0
62,2024-03-01 14:00:00,14.8,674.0
63,2024-03-01 15:00:00,14.7,560.0
64,2024-03-01 16:00:00,14.2,400.0
65,2024-03-01 17:00:00,11.9,209.0
66,2024-03-01 18:00:00,6.7,40.0
67,2024-03-01 19:00:00,3.9,0.0
68,2024-03-01 20:00:00,1.2,0.0
69,2024-03-01 21:00:00,-0.5,0.0
70,2024-03-01 22:00:00,-1.8,0.0
71,2024-03-01 23:00:00,-2.2,0.0
72,2024-03-02 00:00:00,-3.0,0.0
73,2024-03-02 01:00:00,-3.0,0.0
74,2024-03-02 02:00:00,-2.1,0.0
75,2024-03-02 03:00:00,-1.5,0.0
76,2024-03-02 04:00:00,-2.3,0.0
77,2024-03-02 05:00:00,-3.3,0.0
78,2024-03-02 06:00:00,-4.2,0.0
79,2024-03-02 07:00:00,-3.7,9.0
80,2024-03-02 08:00:00,0.2,136.0
81,2024-03-02 09:00:00,5.7,330.0
82,2024-03-02 10:00:00,11.1,507.0
83,2024-03-02 11:00:00,14.1,641.0
84,2024-03-02 12:00:00,14.8,712.0
85,2024-03-02 13:00:00,15.9,734.0
86,2024-03-02 14:00:00,16.7,680.0
87,2024-03-02 15:00:00,17.0,569.0
88,2024-03-02 16:00:00,15.4,405.0
89,2024-03-02 17:00:00,14.1,218.0
90,2024-03-02 18:00:00,9.8,42.0
91,2024-03-02 19:00:00,8.5,0.0
92,2024-03-02 20:00:00,8.2,0.0
93,2024-03-02 21:00:00,6.3,0.0
94,2024-03-02 22:00:00,6.2,0.0
95,2024-03-02 23:00:00,4.9,0.0
96,2024-03-03 00:00:00,3.0,0.0
97,2024-03-03 01:00:00,5.7,0.0
98,2024-03-03 02:00:00,6.3,0.0
99,2024-03-03 03:00:00,1.6,0.0
100,2024-03-03 04:00:00,1.8,0.0
101,2024-03-03 05:00:00,1.2,0.0
102,2024-03-03 06:00:00,-0.1,0.0
103,2024-03-03 07:00:00,-0.2,6.0
104,2024-03-03 08:00:00,1.7,114.0
105,2024-03-03 09:00:00,3.9,238.0
106,2024-03-03 10:00:00,6.2,453.0
107,2024-03-03 11:00:00,6.6,516.0
108,2024-03-03 12:00:00,7.3,501.0
109,2024-03-03 13:00:00,8.4,541.0
110,2024-03-03 14:00:00,9.7,569.0
111,2024-03-03 15:00:00,10.4,515.0
112,2024-03-03 16:00:00,10.3,279.0
113,2024-03-03 17:00:00,8.9,160.0
114,2024-03-03 18:00:00,5.4,37.0
115,2024-03-03 19:00:00,3.9,0.0
116,2024-03-03 20:00:00,1.4,0.0
117,2024-03-03 21:00:00,0.0,0.0
118,2024-03-03 22:00:00,0.0,0.0
119,2024-03-03 23:00:00,-2.1,0.0
120,2024-03-04 00:00:00,-2.9,0.0
121,2024-03-04 01:00:00,-3.6,0.0
122,2024-03-04 02:00:00,-3.3,0.0
123,2024-03-04 03:00:00,-3.3,0.0
124,2024-03-04 04:00:00,-4.3,0.0
125,2024-03-04 05:00:00,-4.1,0.0
126,2024-03-04 06:00:00,-5.0,0.0
127,2024-03-04 07:00:00,-4.7,8.0
128,2024-03-04 08:00:00,-2.6,42.0
129,2024-03-04 09:00:00,-0.8,150.0
130,2024-03-04 10:00:00,1.9,358.0
131,2024-03-04 11:00:00,4.5,609.0
132,2024-03-04 12:00:00,6.3,678.0
133,2024-03-04 13:00:00,8.5,737.0
134,2024-03-04 14:00:00,9.1,679.0
135,2024-03-04 15:00:00,9.8,559.0
136,2024-03-04 16:00:00,9.6,389.0
137,2024-03-04 17:00:00,8.3,163.0
138,2024-03-04 18:00:00,6.6,45.0
139,2024-03-04 19:00:00,1.0,0.0
140,2024-03-04 20:00:00,-0.4,0.0
141,2024-03-04 21:00:00,-0.1,0.0
142,2024-03-04 22:00:00,-0.7,0.0
143,2024-03-04 23:00:00,-2.7,0.0
144,2024-03-05 00:00:00,-3.4,0.0
145,2024-03-05 01:00:00,-4.3,0.0
146,2024-03-05 02:00:00,-3.0,0.0
147,2024-03-05 03:00:00,-1.4,0.0
148,2024-03-05 04:00:00,-1.3,0.0
149,2024-03-05 05:00:00,-4.8,0.0
150,2024-03-05 06:00:00,-4.3,0.0
151,2024-03-05 07:00:00,-3.6,12.0
152,2024-03-05 08:00:00,-1.5,143.0
153,2024-03-05 09:00:00,0.3,334.0
154,2024-03-05 10:00:00,2.2,509.0
155,2024-03-05 11:00:00,3.7,639.0
156,2024-03-05 12:00:00,5.3,716.0
157,2024-03-05 13:00:00,6.5,647.0
158,2024-03-05 14:00:00,7.7,619.0
159,2024-03-05 15:00:00,7.8,386.0
160,2024-03-05 16:00:00,7.1,196.0
161,2024-03-05 17:00:00,6.5,125.0
162,2024-03-05 18:00:00,2.6,36.0
163,2024-03-05 19:00:00,2.3,0.0
164,2024-03-05 20:00:00,-1.0,0.0
165,2024-03-05 21:00:00,-2.3,0.0
166,2024-03-05 22:00:00,-3.3,0.0
167,2024-03-05 23:00:00,-3.5,0.0
168,2024-03-06 00:00:00,-3.7,0.0
169,2024-03-06 01:00:00,-4.1,0.0
170,2024-03-06 02:00:00,-4.3,0.0
171,2024-03-06 03:00:00,-4.6,0.0
172,2024-03-06 04:00:00,-4.9,0.0
173,2024-03-06 05:00:00,-4.8,0.0
174,2024-03-06 06:00:00,-4.7,0.0
175,2024-03-06 07:00:00,-4.0,14.0
176,2024-03-06 08:00:00,-0.6,152.0
177,2024-03-06 09:00:00,4.4,347.0
178,2024-03-06 10:00:00,8.3,523.0
179,2024-03-06 11:00:00,11.2,650.0
180,2024-03-06 12:00:00,12.6,731.0
181,2024-03-06 13:00:00,13.0,743.0
182,2024-03-06 14:00:00,13.3,651.0
183,2024-03-06 15:00:00,12.9,478.0
184,2024-03-06 16:00:00,12.3,331.0
185,2024-03-06 17:00:00,10.3,185.0
186,2024-03-06 18:00:00,6.4,39.0
187,2024-03-06 19:00:00,4.9,0.0
188,2024-03-06 20:00:00,4.1,0.0
189,2024-03-06 21:00:00,2.6,0.0
190,2024-03-06 22:00:00,1.8,0.0
191,2024-03-06 23:00:00,2.6,0.0
192,2024-03-07 00:00:00,2.1,0.0
193,2024-03-07 01:00:00,-0.2,0.0
194,2024-03-07 02:00:00,-1.9,0.0
195,2024-03-07 03:00:00,-2.7,0.0
196,2024-03-07 04:00:00,-2.6,0.0
197,2024-03-07 05:00:00,-3.2,0.0
198,2024-03-07 06:00:00,-3.2,0.0
